datetime,open,high,low,close,volume
2021-12-21 22:00:00,4026.14,4042.53,4013.18,4014.38,61521.813
2021-12-22 00:00:00,4014.38,4040.0,3991.85,4038.32,86783.838
2021-12-22 02:00:00,4038.32,4074.99,4033.28,4048.77,112183.599
2021-12-22 04:00:00,4048.77,4055.4,4031.0,4034.16,53866.458
2021-12-22 06:00:00,4034.16,4059.8,4030.0,4046.91,56920.608
2021-12-22 08:00:00,4046.91,4063.04,4003.11,4013.97,106359.706
2021-12-22 10:00:00,4013.97,4033.85,4008.7,4021.73,64414.542
2021-12-22 12:00:00,4021.73,4030.35,3924.36,3959.18,194516.08
2021-12-22 14:00:00,3959.16,4008.1,3956.52,4005.86,118339.119
2021-12-22 16:00:00,4005.69,4033.65,3975.0,3980.32,103271.32
2021-12-22 18:00:00,3980.32,3998.57,3954.0,3995.79,67842.024
2021-12-22 20:00:00,3995.97,4018.62,3987.08,4011.48,51273.823
2021-12-22 22:00:00,4011.49,4016.88,3972.49,3978.62,60323.927
2021-12-23 00:00:00,3978.63,3985.99,3906.79,3952.74,184213.631
2021-12-23 02:00:00,3952.72,4004.34,3933.0,3959.44,147671.352
2021-12-23 04:00:00,3959.45,3971.24,3940.33,3944.96,65216.36
2021-12-23 06:00:00,3944.93,3962.08,3896.26,3909.65,106284.692
2021-12-23 08:00:00,3909.85,3932.59,3888.87,3928.62,129918.088
2021-12-23 10:00:00,3928.62,3953.32,3913.08,3932.11,103028.212
2021-12-23 12:00:00,3932.1,3964.47,3923.04,3945.46,88878.519
2021-12-23 14:00:00,3945.47,3954.85,3924.09,3948.3,84529.893
2021-12-23 16:00:00,3948.3,4047.0,3944.0,4042.0,205255.891
2021-12-23 18:00:00,4042.13,4153.71,4042.06,4133.89,285000.651
2021-12-23 20:00:00,4133.88,4143.97,4090.87,4112.11,127354.868
2021-12-23 22:00:00,4112.11,4117.44,4086.01,4111.3,59583.742
2021-12-24 00:00:00,4111.31,4129.7,4097.0,4120.7,80380.306
2021-12-24 02:00:00,4120.71,4126.85,4075.0,4091.48,74953.991
2021-12-24 04:00:00,4091.47,4099.99,4076.33,4089.3,41884.569
2021-12-24 06:00:00,4089.28,4097.79,4060.13,4089.03,56023.142
2021-12-24 08:00:00,4089.03,4118.15,4082.0,4108.15,64457.866
2021-12-24 10:00:00,4107.82,4118.62,4070.0,4078.8,85522.772
2021-12-24 12:00:00,4078.8,4105.45,4064.86,4085.3,80367.365
2021-12-24 14:00:00,4085.3,4112.0,4050.52,4094.09,125823.969
2021-12-24 16:00:00,4094.18,4108.36,4070.0,4097.23,84102.267
2021-12-24 18:00:00,4097.25,4133.38,4074.03,4077.99,111184.031
2021-12-24 20:00:00,4078.0,4079.13,4036.29,4063.22,127475.4
2021-12-24 22:00:00,4063.22,4069.79,4014.45,4045.0,94418.401
2021-12-25 00:00:00,4045.19,4074.43,4015.0,4053.13,79547.025
2021-12-25 02:00:00,4053.04,4058.0,4025.69,4038.08,59283.626
2021-12-25 04:00:00,4038.07,4056.49,4033.42,4044.39,37436.244
2021-12-25 06:00:00,4044.4,4060.24,4026.14,4050.9,58296.972
2021-12-25 08:00:00,4050.89,4061.32,4041.42,4045.64,42813.696
2021-12-25 10:00:00,4045.61,4054.95,4020.86,4049.67,83450.821
2021-12-25 12:00:00,4049.68,4107.21,4049.0,4076.54,125194.685
2021-12-25 14:00:00,4076.66,4080.78,4060.0,4077.53,45100.861
2021-12-25 16:00:00,4077.76,4100.01,4034.37,4066.53,128345.366
2021-12-25 18:00:00,4066.53,4093.52,4060.86,4076.21,58669.895
2021-12-25 20:00:00,4076.21,4138.47,4072.23,4118.66,95117.58
2021-12-25 22:00:00,4118.67,4120.87,4079.94,4093.87,77104.823
2021-12-26 00:00:00,4093.88,4101.29,4071.06,4091.39,57189.55
2021-12-26 02:00:00,4091.38,4094.92,4002.7,4012.27,143374.823
2021-12-26 04:00:00,4012.21,4032.1,4002.0,4026.43,62620.507
2021-12-26 06:00:00,4026.42,4037.82,4017.0,4034.96,40024.388
2021-12-26 08:00:00,4034.96,4049.87,4025.51,4041.14,58074.857
2021-12-26 10:00:00,4041.15,4056.0,4011.06,4031.44,68954.723
2021-12-26 12:00:00,4031.45,4048.42,4020.28,4041.08,49742.76
2021-12-26 14:00:00,4041.08,4066.33,4035.18,4051.95,52347.629
2021-12-26 16:00:00,4051.96,4077.17,4046.5,4070.71,53495.392
2021-12-26 18:00:00,4070.72,4079.63,4061.62,4074.12,36154.873
2021-12-26 20:00:00,4074.0,4104.84,4042.05,4081.05,86142.401
2021-12-26 22:00:00,4081.06,4092.88,4058.8,4062.24,59395.848
2021-12-27 00:00:00,4062.4,4079.32,4047.0,4073.91,58356.59
2021-12-27 02:00:00,4073.91,4086.73,4064.77,4079.89,41457.399
2021-12-27 04:00:00,4079.89,4081.04,4060.26,4062.18,33310.669
2021-12-27 06:00:00,4062.17,4071.6,4048.0,4051.16,45401.739
2021-12-27 08:00:00,4051.16,4063.14,4033.0,4052.01,71712.268
2021-12-27 10:00:00,4052.0,4065.77,4049.85,4059.69,44307.359
2021-12-27 12:00:00,4059.7,4096.68,4042.8,4088.58,118829.292
2021-12-27 14:00:00,4088.59,4113.9,4081.14,4091.33,89484.805
2021-12-27 16:00:00,4091.34,4126.0,4076.0,4114.77,98269.842
2021-12-27 18:00:00,4114.77,4124.39,4074.81,4078.01,81040.022
2021-12-27 20:00:00,4078.0,4091.62,4054.77,4058.35,64554.537
2021-12-27 22:00:00,4058.41,4074.0,4030.06,4037.36,90620.121
2021-12-28 00:00:00,4037.35,4037.36,3966.18,3979.77,206105.766
2021-12-28 02:00:00,3979.78,3993.92,3930.76,3959.72,128857.311
2021-12-28 04:00:00,3959.71,3959.71,3871.02,3918.47,187776.485
2021-12-28 06:00:00,3918.48,3933.19,3899.24,3914.53,74742.698
2021-12-28 08:00:00,3914.52,3932.0,3880.0,3884.55,129370.453
2021-12-28 10:00:00,3884.56,3921.46,3884.55,3918.84,84192.383
2021-12-28 12:00:00,3918.84,3931.8,3901.69,3906.45,72723.547
2021-12-28 14:00:00,3906.44,3920.57,3842.3,3896.3,174219.514
2021-12-28 16:00:00,3896.3,3900.12,3775.65,3824.47,302219.253
2021-12-28 18:00:00,3824.46,3824.47,3756.26,3806.29,159812.022
2021-12-28 20:00:00,3806.3,3841.23,3790.64,3805.95,90982.911
2021-12-28 22:00:00,3805.95,3817.56,3788.94,3791.99,64201.189
2021-12-29 00:00:00,3792.0,3825.0,3783.0,3799.79,75288.269
2021-12-29 02:00:00,3799.71,3825.91,3797.0,3814.62,38763.422
2021-12-29 04:00:00,3814.62,3819.99,3787.1,3800.93,51363.912
2021-12-29 06:00:00,3800.93,3808.0,3785.13,3795.5,44648.539
2021-12-29 08:00:00,3795.5,3824.93,3765.49,3813.16,117963.671
2021-12-29 10:00:00,3813.16,3820.2,3773.89,3789.66,76760.854
2021-12-29 12:00:00,3789.78,3791.32,3693.8,3753.79,270807.529
2021-12-29 14:00:00,3753.79,3799.0,3742.77,3792.77,141407.57
2021-12-29 16:00:00,3792.78,3796.72,3746.03,3752.53,68294.47
2021-12-29 18:00:00,3752.53,3774.63,3710.0,3724.25,79739.64
2021-12-29 20:00:00,3724.25,3767.09,3704.05,3725.57,99394.532
2021-12-29 22:00:00,3725.57,3745.61,3600.45,3628.55,253755.323
